"SEF_DCM_Name","SEF_DCM_LEI","Trade_Date","Effective_Date","Internal_Prod_ID","Internal_Prod_Des","Asset_Class","Base_Prod","Sub_Prod","Tran_Type","Contract_Type","Curr_Code","DCO_Name","DCO_LEI","First_Price","High_Price","Low_Price","Last_Price","Traded_Currency","Notional_Traded_Currency","Notional_USD"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200831","IRS_FF_CLP_CME_18M","CLP vs. Camara IRS - CME - 18-Month","IR","S","FF","6M_ACT/360_vs_6M_6M_ACT/360","6M_CL-CLICP-Bloomberg","CLP","CME","SNZ2OJLFK8MNNCLQOF39","0.495000","0.495000","0.495000","0.495000","CLP","26700000000.0000","34154578.2485"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200831","IRS_FF_CLP_CME_2Y","CLP vs. Camara IRS - CME - 2-Year","IR","S","FF","6M_ACT/360_vs_6M_6M_ACT/360","6M_CL-CLICP-Bloomberg","CLP","CME","SNZ2OJLFK8MNNCLQOF39","0.565000","0.565000","0.565000","0.565000","CLP","19400000000.0000","24816435.1319"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_130x1","MXN vs. TIIE IRS - CME - 130x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","5.840000","5.900000","5.840000","5.875000","MXN","1410000000.0000","63752441.5829"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_13x1","MXN vs. TIIE IRS - CME - 13x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","4.515000","4.515000","4.515000","4.515000","MXN","195000000.0000","8816827.0274"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_156x1","MXN vs. TIIE IRS - CME - 156x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","6.107500","6.107500","6.107500","6.107500","MXN","130000000.0000","5877884.6849"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_26x1","MXN vs. TIIE IRS - CME - 26x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","4.600000","4.600000","4.540000","4.540000","MXN","1820000000.0000","82290385.5892"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_39x1","MXN vs. TIIE IRS - CME - 39x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","4.750000","4.750000","4.750000","4.750000","MXN","2000000000.0000","90428995.1530"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_3x1","MXN vs. TIIE IRS - CME - 3x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","4.670000","4.670000","4.670000","4.670000","MXN","4700000000.0000","212508138.6096"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_52x1","MXN vs. TIIE IRS - CME - 52x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","4.950000","4.950000","4.950000","4.950000","MXN","1300000000.0000","58778846.8495"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200828","IRS_FF_MXN_CME_6x1","MXN vs. TIIE IRS - CME - 6x1","IR","S","FF","28D_ACT/360_vs_28D_28D_ACT/360","28D_MXN-TIIE-Banxico","MXN","CME","SNZ2OJLFK8MNNCLQOF39","4.575000","4.575000","4.565000","4.565000","MXN","9400000000.0000","425016277.2191"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200827","FX_NDF_USD-CLP_21D","NDF CLP - 17Sep20","FX","NDF"," ","USDCLP","","USD","","","786.620000","786.620000","786.620000","786.620000","USD","116000000.0000","116000000.0000"
"LatAm SEF LLC","549300ESF1VPFQIGR218","20200827","20200827","FX_NDF_USD-PEN_32D","NDF PEN - 28Sep20","FX","NDF"," ","USDPEN","","USD","","","3.571000","3.571000","3.571000","3.571000","USD","7000000.0000","7000000.0000"
